code,name,published_growth_years,source,verified_at
4452,花王,36,https://diamond.jp/zai/articles/-/229803,2026-06-11
7466,SPK,28,https://diamond.jp/zai/articles/-/229803,2026-06-11
8593,三菱HCキャピタル,27,https://diamond.jp/zai/articles/-/229803,2026-06-11
4967,小林製薬,26,https://diamond.jp/zai/articles/-/229803,2026-06-11
4732,ユー・エス・エス,26,https://diamond.jp/zai/articles/-/229803,2026-06-11
8566,リコーリース,26,https://diamond.jp/zai/articles/-/229803,2026-06-11
8113,ユニ・チャーム,24,https://diamond.jp/zai/articles/-/229803,2026-06-11
5947,リンナイ,24,https://diamond.jp/zai/articles/-/229803,2026-06-11
9433,KDDI,24,https://diamond.jp/zai/articles/-/229803,2026-06-11
9436,沖縄セルラー電話,24,https://diamond.jp/zai/articles/-/229803,2026-06-11
9989,サンドラッグ,24,https://diamond.jp/zai/articles/-/229803,2026-06-11
2659,サンエー,23,https://diamond.jp/zai/articles/-/229803,2026-06-11
7532,パン・パシフィック・インターナショナルHD,22,https://diamond.jp/zai/articles/-/229803,2026-06-11
4527,ロート製薬,22,https://diamond.jp/zai/articles/-/229803,2026-06-11
6370,栗田工業,22,https://diamond.jp/zai/articles/-/229803,2026-06-11
7504,高速,22,https://diamond.jp/zai/articles/-/229803,2026-06-11
9843,ニトリホールディングス,22,https://diamond.jp/zai/articles/-/229803,2026-06-11
2391,プラネット,21,https://diamond.jp/zai/articles/-/229803,2026-06-11
8424,芙蓉総合リース,21,https://diamond.jp/zai/articles/-/229803,2026-06-11
8425,みずほリース,21,https://diamond.jp/zai/articles/-/229803,2026-06-11
